8192,,,,,,,2048,,,,,,,512,,,,,,,128,,,,,,,32,,,,,,,8,,,,
Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss
1.00E-05,64,1.00E-04,,,,,1.00E-05,64,1.00E-04,,,,,1.00E-05,64,1.00E-04,,,,,1.00E-05,64,1.00E-04,,,,,1.00E-05,64,1.00E-04,,,,,1.00E-05,64,1.00E-04,,
1.00E-05,64,3.00E-04,,,,,1.00E-05,64,3.00E-04,,,,,1.00E-05,64,3.00E-04,,,,,1.00E-05,64,3.00E-04,,,,,1.00E-05,64,3.00E-04,,,,,1.00E-05,64,3.00E-04,,
1.00E-05,128,3.00E-05,,,,,1.00E-05,128,3.00E-05,,,,,1.00E-05,128,3.00E-05,,,,,1.00E-05,128,3.00E-05,,,,,1.00E-05,128,3.00E-05,,,,,1.00E-05,128,3.00E-05,,
1.00E-05,128,1.00E-04,,,,,1.00E-05,128,1.00E-04,,,,,1.00E-05,128,1.00E-04,,,,,1.00E-05,128,1.00E-04,,,,,1.00E-05,128,1.00E-04,,,,,1.00E-05,128,1.00E-04,,
1.00E-05,128,3.00E-04,,,,,1.00E-05,128,3.00E-04,,,,,1.00E-05,128,3.00E-04,,,,,1.00E-05,128,3.00E-04,,,,,1.00E-05,128,3.00E-04,,,,,1.00E-05,128,3.00E-04,,
1.00E-04,32,3.00E-05,,,,,1.00E-04,32,3.00E-05,,,,,1.00E-04,32,3.00E-05,,,,,1.00E-04,32,3.00E-05,,,,,1.00E-04,32,3.00E-05,,,,,1.00E-04,32,3.00E-05,,
1.00E-04,32,1.00E-04,,,,,1.00E-04,32,1.00E-04,,,,,1.00E-04,32,1.00E-04,,,,,1.00E-04,32,1.00E-04,,,,,1.00E-04,32,1.00E-04,,,,,1.00E-04,32,1.00E-04,,
1.00E-04,32,3.00E-04,,,,,1.00E-04,32,3.00E-04,,,,,1.00E-04,32,3.00E-04,,,,,1.00E-04,32,3.00E-04,,,,,1.00E-04,32,3.00E-04,,,,,1.00E-04,32,3.00E-04,,
1.00E-04,64,3.00E-05,,,,,1.00E-04,64,3.00E-05,,,,,1.00E-04,64,3.00E-05,,,,,1.00E-04,64,3.00E-05,,,,,1.00E-04,64,3.00E-05,,,,,1.00E-04,64,3.00E-05,,
1.00E-04,64,1.00E-04,,,,,1.00E-04,64,1.00E-04,,,,,1.00E-04,64,1.00E-04,,,,,1.00E-04,64,1.00E-04,,,,,1.00E-04,64,1.00E-04,,,,,1.00E-04,64,1.00E-04,,
1.00E-04,64,3.00E-04,,,,,1.00E-04,64,3.00E-04,,,,,1.00E-04,64,3.00E-04,,,,,1.00E-04,64,3.00E-04,,,,,1.00E-04,64,3.00E-04,,,,,1.00E-04,64,3.00E-04,,
1.00E-04,128,3.00E-05,,,,,1.00E-04,128,3.00E-05,,,,,1.00E-04,128,3.00E-05,,,,,1.00E-04,128,3.00E-05,,,,,1.00E-04,128,3.00E-05,,,,,1.00E-04,128,3.00E-05,,
1.00E-04,128,1.00E-04,,,,,1.00E-04,128,1.00E-04,,,,,1.00E-04,128,1.00E-04,,,,,1.00E-04,128,1.00E-04,,,,,1.00E-04,128,1.00E-04,,,,,1.00E-04,128,1.00E-04,,
1.00E-04,128,3.00E-04,,,,,1.00E-04,128,3.00E-04,,,,,1.00E-04,128,3.00E-04,,,,,1.00E-04,128,3.00E-04,,,,,1.00E-04,128,3.00E-04,,,,,1.00E-04,128,3.00E-04,,
1.00E-03,32,3.00E-05,,,,,1.00E-03,32,3.00E-05,,,,,1.00E-03,32,3.00E-05,,,,,1.00E-03,32,3.00E-05,,,,,1.00E-03,32,3.00E-05,,,,,1.00E-03,32,3.00E-05,,
1.00E-03,32,1.00E-04,,,,,1.00E-03,32,1.00E-04,,,,,1.00E-03,32,1.00E-04,,,,,1.00E-03,32,1.00E-04,,,,,1.00E-03,32,1.00E-04,,,,,1.00E-03,32,1.00E-04,,
1.00E-03,32,3.00E-04,,,,,1.00E-03,32,3.00E-04,,,,,1.00E-03,32,3.00E-04,,,,,1.00E-03,32,3.00E-04,,,,,1.00E-03,32,3.00E-04,,,,,1.00E-03,32,3.00E-04,,
1.00E-03,64,3.00E-05,,,,,1.00E-03,64,3.00E-05,,,,,1.00E-03,64,3.00E-05,,,,,1.00E-03,64,3.00E-05,,,,,1.00E-03,64,3.00E-05,,,,,1.00E-03,64,3.00E-05,,
1.00E-03,64,1.00E-04,,,,,1.00E-03,64,1.00E-04,,,,,1.00E-03,64,1.00E-04,,,,,1.00E-03,64,1.00E-04,,,,,1.00E-03,64,1.00E-04,,,,,1.00E-03,64,1.00E-04,,
1.00E-03,64,3.00E-04,,,,,1.00E-03,64,3.00E-04,,,,,1.00E-03,64,3.00E-04,,,,,1.00E-03,64,3.00E-04,,,,,1.00E-03,64,3.00E-04,,,,,1.00E-03,64,3.00E-04,,
1.00E-03,128,3.00E-05,,,,,1.00E-03,128,3.00E-05,,,,,1.00E-03,128,3.00E-05,,,,,1.00E-03,128,3.00E-05,,,,,1.00E-03,128,3.00E-05,,,,,1.00E-03,128,3.00E-05,,
1.00E-03,128,1.00E-04,,,,,1.00E-03,128,1.00E-04,,,,,1.00E-03,128,1.00E-04,,,,,1.00E-03,128,1.00E-04,,,,,1.00E-03,128,1.00E-04,,,,,1.00E-03,128,1.00E-04,,
1.00E-03,128,3.00E-04,,,,,1.00E-03,128,3.00E-04,,,,,1.00E-03,128,3.00E-04,,,,,1.00E-03,128,3.00E-04,,,,,1.00E-03,128,3.00E-04,,,,,1.00E-03,128,3.00E-04,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,,,,,,,Dropout,,,,,,,Dropout,,,,,,,Dropout,,,,,,,Dropout,,,,,,,Dropout,,,,
p,batch size,learning rate,accuracy,val loss,,,p,batch size,learning rate,accuracy,val loss,,,p,batch size,learning rate,accuracy,val loss,,,p,batch size,learning rate,accuracy,val loss,,,p,batch size,learning rate,accuracy,val loss,,,p,batch size,learning rate,accuracy,val loss
0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,
