model_name,vocab_size,hidden_dim,group_name,param_name,param_value,batch_size,learning_rate,best_val_loss,best_val_acc_percent,test_acc_percent,status,log_file
v1562_h8,1562,8,layer_norm,layer_norm,true,64,1e-5,0.357700,85.240000,85.140000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_64_lr_1em5.log
v1562_h8,1562,8,layer_norm,layer_norm,true,64,3e-5,0.356700,85.360000,85.210000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_64_lr_3em5.log
v1562_h8,1562,8,layer_norm,layer_norm,true,128,3e-6,0.360800,85.260000,85.120000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_128_lr_3em6.log
v1562_h8,1562,8,layer_norm,layer_norm,true,128,1e-5,0.359800,85.460000,85.330000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_128_lr_1em5.log
v1562_h8,1562,8,layer_norm,layer_norm,true,128,3e-5,0.360500,85.700000,85.260000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_128_lr_3em5.log
v1562_h8,1562,8,batch_norm,batch_norm,true,32,3e-6,0.348400,85.300000,85.350000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_32_lr_3em6.log
v1562_h8,1562,8,batch_norm,batch_norm,true,32,1e-5,0.343700,85.500000,85.040000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_32_lr_1em5.log
v1562_h8,1562,8,batch_norm,batch_norm,true,32,3e-5,0.344700,85.360000,84.970000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_32_lr_3em5.log
v1562_h8,1562,8,batch_norm,batch_norm,true,64,3e-6,0.376900,85.160000,84.930000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_64_lr_3em6.log
v1562_h8,1562,8,batch_norm,batch_norm,true,64,1e-5,0.340000,85.620000,85.170000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_64_lr_1em5.log
v1562_h8,1562,8,batch_norm,batch_norm,true,64,3e-5,0.340900,85.620000,84.940000,ok,grid_results/final/logs/v1562_h8_batch_norm_batch_norm_true_bs_64_lr_3em5.log
