8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
0.001,32,3.00E-05,93.81%,0.254561,,0.001,32,3.00E-05,93.31%,0.240606,,0.001,32,3.00E-05,92.89%,0.241872,,0.001,32,3.00E-05,92.54%,0.217611,,0.001,32,3.00E-05,91.64%,0.238977,,0.001,32,3.00E-05,89.85%,0.287657
0.001,32,1.00E-04,93.36%,0.331618,,0.001,32,1.00E-04,93.74%,0.306654,,0.001,32,1.00E-04,93.35%,0.292196,,0.001,32,1.00E-04,93.07%,0.259440,,0.001,32,1.00E-04,92.49%,0.256905,,0.001,32,1.00E-04,91.89%,0.227995
0.001,32,3.00E-04,93.14%,0.348963,,0.001,32,3.00E-04,93.70%,0.314447,,0.001,32,3.00E-04,93.42%,0.341147,,0.001,32,3.00E-04,93.29%,0.319770,,0.001,32,3.00E-04,92.93%,0.310496,,0.001,32,3.00E-04,92.63%,0.260813
0.001,64,3.00E-05,93.41%,0.228715,,0.001,64,3.00E-05,92.83%,0.228335,,0.001,64,3.00E-05,92.45%,0.228941,,0.001,64,3.00E-05,91.74%,0.226184,,0.001,64,3.00E-05,90.16%,0.282954,,0.001,64,3.00E-05,86.88%,0.402062
0.001,64,1.00E-04,93.75%,0.256251,,0.001,64,1.00E-04,93.46%,0.261907,,0.001,64,1.00E-04,92.96%,0.264821,,0.001,64,1.00E-04,92.75%,0.237635,,0.001,64,1.00E-04,92.35%,0.237651,,0.001,64,1.00E-04,91.45%,0.239778
0.001,64,3.00E-04,93.06%,0.355767,,0.001,64,3.00E-04,93.85%,0.277112,,0.001,64,3.00E-04,93.45%,0.304506,,0.001,64,3.00E-04,93.09%,0.286670,,0.001,64,3.00E-04,92.52%,0.284142,,0.001,64,3.00E-04,92.43%,0.241865
0.001,128,3.00E-05,93.11%,0.211883,,0.001,128,3.00E-05,92.74%,0.218693,,0.001,128,3.00E-05,91.95%,0.231814,,0.001,128,3.00E-05,90.47%,0.264022,,0.001,128,3.00E-05,87.88%,0.373247,,0.001,128,3.00E-05,83.20%,0.596075
0.001,128,1.00E-04,93.46%,0.240873,,0.001,128,1.00E-04,92.92%,0.246814,,0.001,128,1.00E-04,92.66%,0.245821,,0.001,128,1.00E-04,92.50%,0.226395,,0.001,128,1.00E-04,91.58%,0.243916,,0.001,128,1.00E-04,90.02%,0.288333
0.001,128,3.00E-04,93.85%,0.254179,,0.001,128,3.00E-04,93.45%,0.270025,,0.001,128,3.00E-04,92.81%,0.289291,,0.001,128,3.00E-04,92.71%,0.264580,,0.001,128,3.00E-04,92.33%,0.258461,,0.001,128,3.00E-04,92.16%,0.235474
0.01,32,3.00E-05,93.92%,0.233192,,0.01,32,3.00E-05,93.64%,0.216902,,0.01,32,3.00E-05,92.90%,0.224213,,0.01,32,3.00E-05,92.34%,0.215570,,0.01,32,3.00E-05,91.10%,0.248919,,0.01,32,3.00E-05,89.00%,0.325788
